starttime	seconds	ctime	dtime	ttime	wait
Wed Apr 18 09:10:34 2018	1524064234	0	19410	19410	19410
Wed Apr 18 09:10:07 2018	1524064207	0	19421	19421	19405
Wed Apr 18 09:10:32 2018	1524064232	0	19421	19421	19421
Wed Apr 18 09:10:32 2018	1524064232	0	19422	19422	19406
Wed Apr 18 09:10:08 2018	1524064208	0	19422	19422	19422
Wed Apr 18 09:10:33 2018	1524064233	0	19434	19434	19418
Wed Apr 18 09:10:33 2018	1524064233	0	19437	19437	19437
Wed Apr 18 09:10:33 2018	1524064233	0	19437	19437	19437
Wed Apr 18 09:10:30 2018	1524064230	0	19438	19438	19438
Wed Apr 18 09:10:09 2018	1524064209	0	19448	19448	19448
Wed Apr 18 09:10:33 2018	1524064233	0	19451	19451	19447
Wed Apr 18 09:10:33 2018	1524064233	0	19451	19451	19435
Wed Apr 18 09:10:29 2018	1524064229	0	19451	19451	19451
Wed Apr 18 09:10:33 2018	1524064233	0	19453	19453	19453
Wed Apr 18 09:10:09 2018	1524064209	0	19453	19453	19453
Wed Apr 18 09:10:29 2018	1524064229	0	19453	19453	19453
Wed Apr 18 09:10:31 2018	1524064231	0	19454	19454	19454
Wed Apr 18 09:10:09 2018	1524064209	0	19454	19454	19406
Wed Apr 18 09:10:33 2018	1524064233	0	19455	19455	19450
Wed Apr 18 09:10:09 2018	1524064209	0	19463	19463	19448
Wed Apr 18 09:10:29 2018	1524064229	0	19469	19469	19469
Wed Apr 18 09:10:29 2018	1524064229	0	19469	19469	19469
Wed Apr 18 09:10:29 2018	1524064229	0	19469	19469	19453
Wed Apr 18 09:10:31 2018	1524064231	0	19469	19469	19469
Wed Apr 18 09:10:30 2018	1524064230	0	19469	19469	19422
Wed Apr 18 09:10:09 2018	1524064209	0	19477	19477	19472
Wed Apr 18 09:10:08 2018	1524064208	0	19484	19484	19484
Wed Apr 18 09:10:29 2018	1524064229	0	19484	19484	19484
Wed Apr 18 09:10:08 2018	1524064208	1	19483	19484	19483
Wed Apr 18 09:10:09 2018	1524064209	0	19484	19484	19484
Wed Apr 18 09:10:11 2018	1524064211	0	19484	19484	19484
Wed Apr 18 09:10:11 2018	1524064211	0	19485	19485	19485
Wed Apr 18 09:10:11 2018	1524064211	0	19485	19485	19485
Wed Apr 18 09:10:31 2018	1524064231	0	19485	19485	19469
Wed Apr 18 09:10:09 2018	1524064209	0	19485	19485	19453
Wed Apr 18 09:10:09 2018	1524064209	0	19495	19495	19495
Wed Apr 18 09:10:09 2018	1524064209	0	19495	19495	19495
Wed Apr 18 09:10:09 2018	1524064209	0	19498	19498	19482
Wed Apr 18 09:10:29 2018	1524064229	0	19500	19500	19500
Wed Apr 18 09:10:08 2018	1524064208	0	19500	19500	19500
Wed Apr 18 09:10:10 2018	1524064210	0	19500	19500	19484
Wed Apr 18 09:10:11 2018	1524064211	0	19500	19500	19484
Wed Apr 18 09:10:29 2018	1524064229	0	19500	19500	19500
Wed Apr 18 09:10:31 2018	1524064231	0	19512	19512	19512
Wed Apr 18 09:10:31 2018	1524064231	0	19515	19515	19515
Wed Apr 18 09:10:11 2018	1524064211	0	19515	19515	19500
Wed Apr 18 09:10:10 2018	1524064210	0	19516	19516	19500
Wed Apr 18 09:10:10 2018	1524064210	0	19516	19516	19516
Wed Apr 18 09:10:29 2018	1524064229	0	19516	19516	19500
Wed Apr 18 09:10:30 2018	1524064230	0	19516	19516	19516
Wed Apr 18 09:10:11 2018	1524064211	0	19516	19516	19516
Wed Apr 18 09:10:11 2018	1524064211	0	19516	19516	19516
Wed Apr 18 09:10:11 2018	1524064211	0	19516	19516	19516
Wed Apr 18 09:10:11 2018	1524064211	0	19530	19530	19514
Wed Apr 18 09:10:31 2018	1524064231	0	19530	19530	19530
Wed Apr 18 09:10:31 2018	1524064231	0	19530	19530	19515
Wed Apr 18 09:10:31 2018	1524064231	0	19530	19530	19530
Wed Apr 18 09:10:10 2018	1524064210	0	19531	19531	19516
Wed Apr 18 09:10:30 2018	1524064230	0	19531	19531	19469
Wed Apr 18 09:10:10 2018	1524064210	0	19531	19531	19531
Wed Apr 18 09:10:08 2018	1524064208	0	19531	19531	19531
Wed Apr 18 09:10:08 2018	1524064208	0	19532	19532	19454
Wed Apr 18 09:10:08 2018	1524064208	0	19532	19532	19532
Wed Apr 18 09:10:08 2018	1524064208	0	19532	19532	19532
Wed Apr 18 09:10:11 2018	1524064211	0	19532	19532	19516
Wed Apr 18 09:10:08 2018	1524064208	0	19532	19532	19532
Wed Apr 18 09:10:31 2018	1524064231	0	19533	19533	19528
Wed Apr 18 09:10:10 2018	1524064210	0	19534	19534	19534
Wed Apr 18 09:10:30 2018	1524064230	0	19534	19534	19516
Wed Apr 18 09:10:11 2018	1524064211	0	19534	19534	19529
Wed Apr 18 09:10:30 2018	1524064230	0	19546	19546	19518
Wed Apr 18 09:10:30 2018	1524064230	0	19547	19547	19531
Wed Apr 18 09:10:08 2018	1524064208	0	19547	19547	19531
Wed Apr 18 09:10:10 2018	1524064210	0	19547	19547	19547
Wed Apr 18 09:10:08 2018	1524064208	0	19553	19553	19548
Wed Apr 18 09:10:27 2018	1524064227	0	19557	19557	19557
Wed Apr 18 09:10:30 2018	1524064230	0	19562	19562	19547
Wed Apr 18 09:10:30 2018	1524064230	0	19562	19562	19547
Wed Apr 18 09:10:30 2018	1524064230	0	19563	19563	19547
Wed Apr 18 09:10:28 2018	1524064228	0	19563	19563	19563
Wed Apr 18 09:10:10 2018	1524064210	0	19563	19563	19563
Wed Apr 18 09:10:28 2018	1524064228	0	19570	19570	19570
Wed Apr 18 09:10:27 2018	1524064227	0	19577	19577	19562
Wed Apr 18 09:10:28 2018	1524064228	0	19577	19577	19577
Wed Apr 18 09:10:27 2018	1524064227	0	19578	19578	19578
Wed Apr 18 09:10:27 2018	1524064227	0	19578	19578	19562
Wed Apr 18 09:10:27 2018	1524064227	0	19578	19578	19578
Wed Apr 18 09:10:28 2018	1524064228	0	19578	19578	19578
Wed Apr 18 09:10:28 2018	1524064228	0	19578	19578	19578
Wed Apr 18 09:10:10 2018	1524064210	0	19578	19578	19563
Wed Apr 18 09:10:10 2018	1524064210	0	19578	19578	19578
Wed Apr 18 09:10:12 2018	1524064212	0	19579	19579	19579
Wed Apr 18 09:10:12 2018	1524064212	0	19579	19579	19579
Wed Apr 18 09:10:28 2018	1524064228	0	19580	19580	19580
Wed Apr 18 09:10:28 2018	1524064228	0	19583	19583	19583
Wed Apr 18 09:10:28 2018	1524064228	0	19583	19583	19568
Wed Apr 18 09:10:28 2018	1524064228	0	19583	19583	19583
Wed Apr 18 09:10:28 2018	1524064228	0	19594	19594	19578
Wed Apr 18 09:10:12 2018	1524064212	0	19594	19594	19594
Wed Apr 18 09:10:28 2018	1524064228	0	19599	19599	19583
Wed Apr 18 09:10:12 2018	1524064212	0	19657	19657	19657
Wed Apr 18 09:10:12 2018	1524064212	0	19663	19663	19659
Wed Apr 18 09:10:27 2018	1524064227	0	19672	19672	19672
Wed Apr 18 09:10:12 2018	1524064212	0	19672	19672	19656
Wed Apr 18 09:10:12 2018	1524064212	0	19672	19672	19656
Wed Apr 18 09:10:13 2018	1524064213	0	19673	19673	19673
Wed Apr 18 09:10:12 2018	1524064212	0	19677	19677	19677
Wed Apr 18 09:10:13 2018	1524064213	0	19687	19687	19671
Wed Apr 18 09:10:27 2018	1524064227	0	19687	19687	19686
Wed Apr 18 09:10:13 2018	1524064213	0	19688	19688	19672
Wed Apr 18 09:10:27 2018	1524064227	0	19702	19702	19686
Wed Apr 18 09:10:13 2018	1524064213	0	19702	19702	19702
Wed Apr 18 09:10:27 2018	1524064227	0	19702	19702	19702
Wed Apr 18 09:10:25 2018	1524064225	0	19703	19703	19703
Wed Apr 18 09:10:14 2018	1524064214	0	19703	19703	19703
Wed Apr 18 09:10:13 2018	1524064213	0	19715	19715	19699
Wed Apr 18 09:10:25 2018	1524064225	0	19717	19717	19701
Wed Apr 18 09:10:13 2018	1524064213	0	19717	19717	19717
Wed Apr 18 09:10:13 2018	1524064213	0	19718	19718	19718
Wed Apr 18 09:10:13 2018	1524064213	0	19718	19718	19718
Wed Apr 18 09:10:13 2018	1524064213	0	19718	19718	19718
Wed Apr 18 09:10:27 2018	1524064227	16	19702	19718	19702
Wed Apr 18 09:10:25 2018	1524064225	0	19719	19719	19719
Wed Apr 18 09:10:25 2018	1524064225	0	19719	19719	19703
Wed Apr 18 09:10:25 2018	1524064225	0	19719	19719	19719
Wed Apr 18 09:10:25 2018	1524064225	0	19719	19719	19719
Wed Apr 18 09:10:25 2018	1524064225	0	19719	19719	19703
